LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number
Greater Shepparton,Code 2,,1339," 3,067 "
Hepburn,Code 2,,1811, 601 
Hindmarsh,Code 2,,1955, 322 
Hobsons Bay,Code 2,,1405," 2,817 "
Horsham,Code 2,,1853," 1,090 "
Hume,Code 2,,1222," 7,518 "
Indigo,Code 2,,1917, 397 
Kingston,Code 2,,1333," 4,971 "
Knox,Code 2,,1128," 4,629 "
Latrobe,Code 2,,1329," 4,228 "
Loddon,Code 2,,2064, 318 
Macedon Ranges,Code 2,,1327," 1,705 "
Manningham,Code 2,,1466," 2,808 "
Mansfield,Code 2,,2187, 426 
Maribyrnong,Code 2,,1362," 2,791 "
Maroondah,Code 2,,1181," 3,870 "
Melbourne,Code 2,,1363," 9,172 "
Melton,Code 2,,1268," 4,394 "
Mildura,Code 2,,1746," 2,541 "
Mitchell,Code 2,,1415," 2,151 "
Moira,Code 2,,1598," 1,597 "
Monash,Code 2,,1390," 5,279 "
Moonee Valley (1),Code 2,,3665," 5,402 "
Moorabool,Code 2,,1366," 1,311 "
Moreland,Code 2,,1408," 5,614 "
Mornington Peninsula,Code 2,,1246," 6,504 "
Mount Alexander,Code 2,,1748, 699 
Moyne,Code 2,,1854, 458 
Murrindindi,Code 2,,1905, 641 
Nillumbik,Code 2,,1404," 1,472 "
Northern Grampians,Code 2,,1654, 684 
Port Phillip,Code 2,,1419," 3,790 "
Pyrenees,Code 2,,1638, 284 
Queenscliffe,Code 2,,1442, 131 
South Gippsland,Code 2,,1818," 1,197 "
Southern Grampians,Code 2,,1646, 610 
Stonnington,Code 2,,1493," 2,942 "
Strathbogie,Code 2,,1602, 480 
Surf Coast,Code 2,,1442, 955 
Swan Hill,Code 2,,1853," 1,001 "
Towong,Code 2,,1999, 298 
Unincorporated Vic,Code 2,,1800, 277 
Wangaratta,Code 2,,1712," 1,207 "
Warrnambool,Code 2,,1257," 1,346 "
Wellington,Code 2,,1680," 1,882 "
West Wimmera,Code 2,,1851, 151 
Whitehorse,Code 2,,1307," 4,632 "
Whittlesea,Code 2,,1366," 5,835 "
Wodonga,Code 2,,1380," 1,561 "
Wyndham,Code 2,,1277," 6,012 "
Yarra,Code 2,,1356," 3,445 "
Yarra Ranges,Code 2,,1202," 4,719 "
Yarriambiack,Code 2,,2004, 273 
Interstate LGAs,Code 2,,1824, 612 
Total AV,Code 2,,1441," 215,714 "
,,,,
NOTE: ,,,,
1. The Moonee Valley LGA includes the airport to which a significant number of Code 2 inter hospital transers (IHTs) arrive. IHTs often have extended response times due to the emergency road ambulance waiting at the airport for the patient to arrive by aircraft. Removing IHTs from the Moonee Valley Code 1 response time results in performance similar to surrounding LGAs.,,,,
